player,team,opp,pos,stat,season_avg,pred,low,high,range,line,over_price,under_price,yes_price,no_price,edge,signal,conf,model_prob,implied_prob,ev,ev_pct,kelly_frac,injury_status,market_status,is_active,filter_reason,reasoning,game,home_team,away_team,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank,role_score,minutes_trend,points_trend,intel_source,history_games,history_latest_date,history_source
Sonia Citron,,Washington Mystics @ Golden State Valkyries,,PTS,17.6,20.3,16.8,23.8,16.8-23.8,15.5,-0.5,-130.5,,,4.8,OVER,HIGH,0.6298,0.005,125.5898,12559.0,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Washington Mystics @ Golden State Valkyries,Golden State Valkyries,Washington Mystics,"[8.0, 2.0, 15.0, 32.0, 11.0]","[""Fire"", ""Tempo"", ""Storm"", ""Fire"", ""Sun""]",0.2,0.5,"[20.3, 19.4, 18.5, 21.7, 20.8]",4,0,,,,10.0,2026-07-16,wnba_player_game_logs
Ariel Atkins,,Los Angeles Sparks @ Chicago Sky,,PR,11.0,10.6,7.1,14.1,7.1-14.1,13.5,-126.5,-6.0,,,-2.9,UNDER,HIGH,0.5804,0.0566,9.2537,925.4,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[10.0, 16.0, 20.0, 15.0, 10.0]","[""Lynx"", ""Dream"", ""Sky"", ""Fever"", ""Storm""]",0.4,0.6,"[9.7, 8.8, 11.9, 11.0, 10.2]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Ariel Atkins,,Los Angeles Sparks @ Chicago Sky,,PTS,8.1,7.6,4.1,11.1,4.1-11.1,10.5,-132.33,-33.33,,,-2.9,UNDER,HIGH,0.5804,0.25,1.3218,132.2,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[8.0, 13.0, 17.0, 12.0, 5.0]","[""Lynx"", ""Dream"", ""Sky"", ""Fever"", ""Storm""]",0.4,0.6,"[6.7, 5.8, 8.9, 8.0, 7.1]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Dominique Malonga,,Seattle Storm @ Indiana Fever,,PRA,24.1,22.5,19.0,26.0,19.0-26.0,28.5,-122.0,-108.0,,,-6.0,UNDER,HIGH,0.66,0.5192,0.2711,27.1,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[32.0, 13.0, 26.0, 13.0, 28.0]","[""Sky"", ""Mystics"", ""Dream"", ""Sparks"", ""Fire""]",0.8,0.6,"[22.9, 22.1, 21.1, 24.3, 23.4]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Sonia Citron,,Washington Mystics @ Golden State Valkyries,,PA,21.1,24.2,20.7,27.7,20.7-27.7,18.5,-107.0,-127.0,,,5.7,OVER,HIGH,0.6532,0.5169,0.2637,26.4,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Washington Mystics @ Golden State Valkyries,Golden State Valkyries,Washington Mystics,"[11.0, 6.0, 16.0, 36.0, 14.0]","[""Fire"", ""Tempo"", ""Storm"", ""Fire"", ""Sun""]",0.2,0.5,"[24.6, 23.8, 22.8, 26.0, 25.1]",4,0,,,,10.0,2026-07-16,wnba_player_game_logs
Dominique Malonga,,Seattle Storm @ Indiana Fever,,PR,22.7,21.0,17.5,24.5,17.5-24.5,26.5,-122.0,-108.0,,,-5.5,UNDER,HIGH,0.648,0.5192,0.248,24.8,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[28.0, 12.0, 24.0, 11.0, 27.0]","[""Sky"", ""Mystics"", ""Dream"", ""Sparks"", ""Fire""]",0.6,0.5,"[22.4, 21.4, 20.6, 19.6, 22.8]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Sonia Citron,,Washington Mystics @ Golden State Valkyries,,PR,21.5,25.2,21.7,28.7,21.7-28.7,18.5,-117.5,-113.0,,,6.7,OVER,HIGH,0.66,0.5402,0.2217,22.2,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Washington Mystics @ Golden State Valkyries,Golden State Valkyries,Washington Mystics,"[14.0, 4.0, 18.0, 38.0, 17.0]","[""Fire"", ""Tempo"", ""Storm"", ""Fire"", ""Sun""]",0.2,0.5,"[25.2, 24.3, 23.4, 26.6, 25.6]",4,0,,,,10.0,2026-07-16,wnba_player_game_logs
Sonia Citron,,Washington Mystics @ Golden State Valkyries,,PRA,24.9,28.6,25.1,32.1,25.1-32.1,21.5,-118.5,-112.5,,,7.1,OVER,HIGH,0.66,0.5423,0.217,21.7,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Washington Mystics @ Golden State Valkyries,Golden State Valkyries,Washington Mystics,"[17.0, 8.0, 19.0, 42.0, 20.0]","[""Fire"", ""Tempo"", ""Storm"", ""Fire"", ""Sun""]",0.2,0.5,"[27.7, 26.8, 30.0, 29.1, 28.2]",4,0,,,,10.0,2026-07-16,wnba_player_game_logs
Monique Akoa Makani,,Connecticut Sun @ Phoenix Mercury,,PRA,14.7,12.1,8.6,15.6,8.6-15.6,17.5,-114.67,-114.0,,,-5.4,UNDER,HIGH,0.6454,0.5327,0.2115,21.1,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[22.0, 15.0, 17.0, 11.0, 6.0]","[""Lynx"", ""Aces"", ""Fever"", ""Sky"", ""Storm""]",0.8,0.8,"[10.8, 13.9, 13.0, 12.1, 11.2]",8,0,,,,10.0,2026-07-13,wnba_player_game_logs
Sabrina Ionescu,,New York Liberty @ Indiana Fever,,PRA,17.8,20.1,16.6,23.6,16.6-23.6,25.5,-116.5,-115.5,,,-5.4,UNDER,HIGH,0.6454,0.536,0.2042,20.4,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",New York Liberty @ Indiana Fever,Indiana Fever,New York Liberty,"[20.0, 38.0, 22.0, 25.0, 36.0]","[""Tempo"", ""Lynx"", ""Wings"", ""Lynx"", ""Aces""]",0.6,0.7,"[19.2, 18.3, 21.5, 20.6, 19.7]",6,0,,,,10.0,2026-07-12,wnba_player_game_logs
Monique Akoa Makani,,Connecticut Sun @ Phoenix Mercury,,PR,12.0,9.7,6.2,13.2,6.2-13.2,13.5,-131.5,-102.0,,,-3.8,UNDER,HIGH,0.6038,0.505,0.1958,19.6,0.0499,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[18.0, 14.0, 14.0, 10.0, 4.0]","[""Lynx"", ""Aces"", ""Fever"", ""Sky"", ""Storm""]",0.4,0.5,"[9.2, 8.3, 11.5, 10.6, 9.7]",8,0,,,,10.0,2026-07-13,wnba_player_game_logs
Sabrina Ionescu,,New York Liberty @ Indiana Fever,,PA,14.5,17.0,13.5,20.5,13.5-20.5,21.5,-123.0,-109.0,,,-4.5,UNDER,HIGH,0.622,0.5215,0.1926,19.3,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",New York Liberty @ Indiana Fever,Indiana Fever,New York Liberty,"[18.0, 30.0, 19.0, 23.0, 31.0]","[""Tempo"", ""Lynx"", ""Wings"", ""Lynx"", ""Aces""]",0.4,0.7,"[17.4, 16.6, 15.7, 18.8, 17.9]",6,0,,,,10.0,2026-07-12,wnba_player_game_logs
Dominique Malonga,,Seattle Storm @ Indiana Fever,,PR,22.7,20.9,17.4,24.4,17.4-24.4,27.5,-108.0,-125.0,,,-6.6,UNDER,HIGH,0.66,0.5556,0.188,18.8,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[28.0, 12.0, 24.0, 11.0, 27.0]","[""Sky"", ""Mystics"", ""Dream"", ""Sparks"", ""Fire""]",0.8,0.7,"[22.2, 21.3, 20.4, 19.5, 22.7]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Dominique Malonga,,Seattle Storm @ Indiana Fever,,PRA,24.1,22.4,18.9,25.9,18.9-25.9,29.5,-114.5,-126.0,,,-7.1,UNDER,HIGH,0.66,0.5575,0.1838,18.4,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[32.0, 13.0, 26.0, 13.0, 28.0]","[""Sky"", ""Mystics"", ""Dream"", ""Sparks"", ""Fire""]",0.8,0.6,"[22.8, 21.9, 21.0, 24.2, 23.3]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Monique Akoa Makani,,Connecticut Sun @ Phoenix Mercury,,RA,4.8,3.6,0.1,7.1,0.1-7.1,6.5,-137.0,102.0,,,-2.9,UNDER,HIGH,0.5804,0.495,0.1724,17.2,0.0423,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[5.0, 2.0, 3.0, 2.0, 3.0]","[""Lynx"", ""Aces"", ""Fever"", ""Sky"", ""Storm""]",1.0,0.9,"[4.5, 3.6, 2.7, 1.8, 5.0]",8,0,,,,10.0,2026-07-13,wnba_player_game_logs
Sonia Citron,,Washington Mystics @ Golden State Valkyries,,PA,21.1,24.3,20.8,27.8,20.8-27.8,17.5,-130.0,-102.0,,,6.8,OVER,HIGH,0.66,0.5652,0.1677,16.8,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Washington Mystics @ Golden State Valkyries,Golden State Valkyries,Washington Mystics,"[11.0, 6.0, 16.0, 36.0, 14.0]","[""Fire"", ""Tempo"", ""Storm"", ""Fire"", ""Sun""]",0.2,0.5,"[24.8, 23.9, 22.9, 26.1, 25.2]",4,0,,,,10.0,2026-07-16,wnba_player_game_logs
Natasha Cloud,,Los Angeles Sparks @ Chicago Sky,,PRA,17.1,16.1,12.6,19.6,12.6-19.6,21.5,-109.0,-124.0,,,-5.4,UNDER,HIGH,0.6454,0.5536,0.1659,16.6,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[21.0, 1.0, 18.0, 21.0, 23.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",0.8,0.8,"[17.0, 16.1, 15.2, 14.3, 17.5]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Natasha Cloud,,Los Angeles Sparks @ Chicago Sky,,PA,13.6,12.9,9.4,16.4,9.4-16.4,17.5,-117.0,-116.0,,,-4.6,UNDER,HIGH,0.6246,0.537,0.163,16.3,0.0473,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[19.0, 1.0, 16.0, 17.0, 20.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",0.6,0.8,"[11.1, 14.2, 13.3, 12.5, 11.6]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Monique Akoa Makani,,Connecticut Sun @ Phoenix Mercury,,PA,12.6,10.6,7.1,14.1,7.1-14.1,13.5,-132.0,100.0,,,-2.9,UNDER,HIGH,0.5804,0.5,0.1608,16.1,0.0402,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[21.0, 14.0, 17.0, 10.0, 5.0]","[""Lynx"", ""Aces"", ""Fever"", ""Sky"", ""Storm""]",0.4,0.5,"[10.6, 9.7, 8.8, 11.9, 11.0]",8,0,,,,10.0,2026-07-13,wnba_player_game_logs
DeWanna Bonner,,Connecticut Sun @ Phoenix Mercury,,PRA,15.0,17.2,13.7,20.7,13.7-20.7,21.5,-117.0,-114.5,,,-4.3,UNDER,HIGH,0.6168,0.5338,0.1555,15.6,0.0445,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[29.0, 9.0, 18.0, 19.0, 16.0]","[""Lynx"", ""Aces"", ""Fever"", ""Sky"", ""Storm""]",0.8,0.7,"[16.8, 15.8, 19.0, 18.1, 17.2]",8,0,,,,10.0,2026-07-13,wnba_player_game_logs
Naz Hillmon,,Atlanta Dream @ Toronto Tempo,,PRA,14.0,11.0,7.5,14.5,7.5-14.5,16.5,-3.0,-128.0,,,-5.5,UNDER,HIGH,0.648,0.5614,0.1542,15.4,0.0494,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[17.0, 25.0, 10.0, 9.0, 11.0]","[""Sparks"", ""Fire"", ""Storm"", ""Valkyries"", ""Mystics""]",0.6,0.6,"[12.3, 11.4, 10.6, 9.7, 12.8]",10,0,,,,10.0,2026-07-13,wnba_player_game_logs
Naz Hillmon,,Atlanta Dream @ Toronto Tempo,,PA,9.5,7.5,4.0,11.0,4.0-11.0,10.5,-132.0,-103.0,,,-3.0,UNDER,HIGH,0.583,0.5074,0.149,14.9,0.0384,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[12.0, 17.0, 8.0, 4.0, 6.0]","[""Sparks"", ""Fire"", ""Storm"", ""Valkyries"", ""Mystics""]",0.6,0.6,"[6.2, 9.3, 8.4, 7.5, 6.6]",10,0,,,,10.0,2026-07-13,wnba_player_game_logs
Sydney Taylor,,Los Angeles Sparks @ Chicago Sky,,PR,13.9,14.8,11.3,18.3,11.3-18.3,18.5,-122.5,-110.0,,,-3.7,UNDER,HIGH,0.6012,0.5238,0.1477,14.8,0.0406,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[22.0, 0.0, 16.0, 17.0, 7.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",0.8,0.7,"[13.0, 16.2, 15.2, 14.4, 13.5]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Sabrina Ionescu,,New York Liberty @ Indiana Fever,,PR,14.1,16.0,12.5,19.5,12.5-19.5,20.5,-112.5,-119.0,,,-4.5,UNDER,HIGH,0.622,0.5434,0.1447,14.5,0.043,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",New York Liberty @ Indiana Fever,Indiana Fever,New York Liberty,"[15.0, 33.0, 17.0, 19.0, 31.0]","[""Tempo"", ""Lynx"", ""Wings"", ""Lynx"", ""Aces""]",0.6,0.7,"[16.0, 15.1, 14.2, 17.4, 16.4]",6,0,,,,10.0,2026-07-12,wnba_player_game_logs
Sydney Taylor,,Los Angeles Sparks @ Chicago Sky,,PRA,15.3,16.4,12.9,19.9,12.9-19.9,20.5,-119.0,-115.0,,,-4.1,UNDER,HIGH,0.6116,0.5349,0.1434,14.3,0.0412,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[22.0, 0.0, 18.0, 18.0, 8.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",0.8,0.8,"[17.8, 16.8, 15.9, 15.0, 18.2]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Sabrina Ionescu,,New York Liberty @ Indiana Fever,,PTS,10.8,12.9,9.4,16.4,9.4-16.4,16.5,-119.0,-110.5,,,-3.6,UNDER,HIGH,0.5986,0.5249,0.1403,14.0,0.0388,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",New York Liberty @ Indiana Fever,Indiana Fever,New York Liberty,"[13.0, 25.0, 14.0, 17.0, 26.0]","[""Tempo"", ""Lynx"", ""Wings"", ""Lynx"", ""Aces""]",0.4,0.7,"[12.9, 12.0, 11.1, 14.2, 13.3]",6,0,,,,10.0,2026-07-12,wnba_player_game_logs
Ariel Atkins,,Los Angeles Sparks @ Chicago Sky,,PA,10.4,9.3,5.8,12.8,5.8-12.8,13.5,-113.5,-117.0,,,-4.2,UNDER,HIGH,0.6142,0.5392,0.1392,13.9,0.0407,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[14.0, 15.0, 23.0, 13.0, 5.0]","[""Lynx"", ""Dream"", ""Sky"", ""Fever"", ""Storm""]",0.4,0.5,"[8.9, 8.0, 11.1, 10.2, 9.3]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Naz Hillmon,,Atlanta Dream @ Toronto Tempo,,PR,12.5,10.3,6.8,13.8,6.8-13.8,14.5,-114.0,-117.5,,,-4.2,UNDER,HIGH,0.6142,0.5402,0.1369,13.7,0.0402,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[15.0, 23.0, 9.0, 8.0, 10.0]","[""Sparks"", ""Fire"", ""Storm"", ""Valkyries"", ""Mystics""]",0.6,0.6,"[8.5, 11.7, 10.8, 9.9, 9.0]",10,0,,,,10.0,2026-07-13,wnba_player_game_logs
DeWanna Bonner,,Connecticut Sun @ Phoenix Mercury,,PR,13.9,15.9,12.4,19.4,12.4-19.4,19.5,-119.5,-111.5,,,-3.6,UNDER,HIGH,0.5986,0.5272,0.1355,13.6,0.0378,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[26.0, 6.0, 16.0, 19.0, 14.0]","[""Lynx"", ""Aces"", ""Fever"", ""Sky"", ""Storm""]",0.8,0.7,"[16.4, 15.5, 14.6, 17.7, 16.8]",8,0,,,,10.0,2026-07-13,wnba_player_game_logs
Natasha Cloud,,Los Angeles Sparks @ Chicago Sky,,PR,12.8,11.8,8.3,15.3,8.3-15.3,14.5,-130.0,-103.0,,,-2.7,UNDER,HIGH,0.5752,0.5074,0.1336,13.4,0.0344,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[15.0, 0.0, 11.0, 15.0, 18.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",0.4,0.6,"[13.6, 12.7, 11.8, 10.9, 10.0]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Laura Juskaite,,Atlanta Dream @ Toronto Tempo,,PA,9.9,7.8,4.3,11.3,4.3-11.3,11.5,-119.0,-114.0,,,-3.7,UNDER,HIGH,0.6012,0.5327,0.1286,12.9,0.0366,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[8.0, 15.0, 28.0, 6.0, 9.0]","[""Mystics"", ""Liberty"", ""Wings"", ""Valkyries"", ""Wings""]",0.6,0.6,"[9.6, 8.7, 7.8, 6.9, 6.0]",10,0,,,,10.0,2026-07-14,wnba_player_game_logs
Sydney Taylor,,Los Angeles Sparks @ Chicago Sky,,PTS,12.6,13.3,9.8,16.8,9.8-16.8,16.5,-122.25,-109.67,,,-3.2,UNDER,HIGH,0.5882,0.5231,0.1245,12.4,0.0341,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[17.0, 0.0, 15.0, 16.0, 6.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",0.8,0.7,"[11.5, 14.7, 13.8, 12.9, 12.0]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
DeWanna Bonner,,Connecticut Sun @ Phoenix Mercury,,PA,9.9,10.8,7.3,14.3,7.3-14.3,14.5,-115.5,-116.0,,,-3.7,UNDER,HIGH,0.6012,0.537,0.1195,11.9,0.0346,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[20.0, 5.0, 11.0, 12.0, 8.0]","[""Lynx"", ""Aces"", ""Fever"", ""Sky"", ""Storm""]",0.8,0.8,"[11.7, 10.8, 9.9, 9.0, 12.2]",8,0,,,,10.0,2026-07-13,wnba_player_game_logs
Sydney Taylor,,Los Angeles Sparks @ Chicago Sky,,PA,14.0,14.9,11.4,18.4,11.4-18.4,18.5,-118.0,-115.0,,,-3.6,UNDER,HIGH,0.5986,0.5349,0.1191,11.9,0.0342,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[17.0, 0.0, 17.0, 17.0, 7.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",1.0,0.9,"[13.6, 16.7, 15.8, 14.9, 14.0]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Ariel Atkins,,Los Angeles Sparks @ Chicago Sky,,PRA,13.3,12.1,8.6,15.6,8.6-15.6,16.5,-111.0,-124.0,,,-4.4,UNDER,HIGH,0.6194,0.5536,0.1189,11.9,0.0369,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[16.0, 18.0, 26.0, 16.0, 10.0]","[""Lynx"", ""Dream"", ""Sky"", ""Fever"", ""Storm""]",0.6,0.7,"[10.3, 13.4, 12.5, 11.7, 10.8]",5,0,,,,10.0,2026-07-15,wnba_player_game_logs
Monique Billings,,Seattle Storm @ Indiana Fever,,PR,11.5,11.0,7.5,14.5,7.5-14.5,14.5,-119.0,-114.0,,,-3.5,UNDER,HIGH,0.596,0.5327,0.1188,11.9,0.0339,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[9.0, 15.0, 4.0, 16.0, 12.0]","[""Valkyries"", ""Aces"", ""Mercury"", ""Sparks"", ""Aces""]",0.6,0.6,"[9.2, 12.3, 11.4, 10.6, 9.7]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Monique Akoa Makani,,Connecticut Sun @ Phoenix Mercury,,PA,12.6,10.5,7.0,14.0,7.0-14.0,14.5,-113.0,-120.0,,,-4.0,UNDER,HIGH,0.609,0.5455,0.1165,11.7,0.035,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[21.0, 14.0, 17.0, 10.0, 5.0]","[""Lynx"", ""Aces"", ""Fever"", ""Sky"", ""Storm""]",0.6,0.7,"[10.5, 9.6, 8.7, 11.8, 10.9]",8,0,,,,10.0,2026-07-13,wnba_player_game_logs
Courtney Williams,,Portland Fire @ Minnesota Lynx,,PRA,24.1,23.7,20.2,27.2,20.2-27.2,26.5,-125.5,-107.5,,,-2.8,UNDER,HIGH,0.5778,0.5181,0.1153,11.5,0.031,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[25.0, 18.0, 25.0, 23.0, 38.0]","[""Sparks"", ""Mercury"", ""Liberty"", ""Sun"", ""Sun""]",0.8,0.8,"[21.9, 25.1, 24.1, 23.2, 22.3]",13,0,,,,10.0,2026-07-15,wnba_player_game_logs
Dominique Malonga,,Seattle Storm @ Indiana Fever,,PA,16.5,14.7,11.2,18.2,11.2-18.2,19.5,-105.0,-130.0,,,-4.8,UNDER,HIGH,0.6298,0.5652,0.1143,11.4,0.0371,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[20.0, 5.0, 17.0, 4.0, 23.0]","[""Sky"", ""Mystics"", ""Dream"", ""Sparks"", ""Fire""]",0.6,0.6,"[16.5, 15.6, 14.7, 13.8, 12.9]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
