game_date,event_id,player,team,position,opp_team,is_home,stat_raw,stat,line,over_price,under_price,yes_price,no_price,num_books,odds_type,game_time,home_team,away_team,source,scraped_at
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Odyssey Sims,,,Dallas Wings @ Indiana Fever,,player_assists,ast,4.5,-108.0,-121.75,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_assists,ast,3.5,-134.4,50.75,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_assists,ast,6.5,113.25,-151.67,,,4,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_assists,ast,3.5,122.8,-162.25,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_assists,ast,9.5,-129.4,-106.5,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Odyssey Sims,,,Dallas Wings @ Indiana Fever,,player_points,pts,11.5,-122.0,-109.25,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_points,pts,16.5,-127.0,-104.0,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Alanna Smith,,,Dallas Wings @ Indiana Fever,,player_points,pts,11.5,-122.8,-107.5,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Kelsey Mitchell,,,Dallas Wings @ Indiana Fever,,player_points,pts,24.5,-129.0,31.67,,,3,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_points,pts,21.5,-114.2,-114.25,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Sophie Cunningham,,,Dallas Wings @ Indiana Fever,,player_points,pts,7.5,-125.8,-103.75,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_points,pts,16.5,-115.6,-114.25,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_points,pts,21.5,-132.0,-1.0,,,3,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Odyssey Sims,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,16.5,-111.5,-120.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,31.5,-125.0,-106.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,20.5,-126.0,-106.5,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Kelsey Mitchell,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,27.5,-122.0,-108.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,19.5,-130.0,-103.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,27.5,-130.0,-102.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_points_q1,q1_pts,5.5,114.0,-152.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Kelsey Mitchell,,,Dallas Wings @ Indiana Fever,,player_points_q1,q1_pts,6.5,-112.0,-118.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_points_q1,q1_pts,4.5,104.0,-138.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_points_q1,q1_pts,3.5,-154.0,116.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_points_q1,q1_pts,5.5,100.0,-132.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Lexie Hull,,,Dallas Wings @ Indiana Fever,,player_points_rebounds,pr,7.5,-125.0,-106.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_points_rebounds,pr,20.5,-111.5,-120.5,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Makayla Timpson,,,Dallas Wings @ Indiana Fever,,player_points_rebounds,pr,12.5,-128.5,-104.5,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_points_rebounds,pr,25.5,-118.5,-113.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_points_rebounds,pr,26.5,-114.0,-117.5,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Odyssey Sims,,,Dallas Wings @ Indiana Fever,,player_points_rebounds_assists,pra,19.5,0.25,-135.33,,,4,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_points_rebounds_assists,pra,36.5,-115.33,-119.0,,,3,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_points_rebounds_assists,pra,24.5,-111.0,-119.67,,,4,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_points_rebounds_assists,pra,29.5,0.5,-131.5,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_points_rebounds_assists,pra,31.5,-118.33,-113.0,,,3,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Makayla Timpson,,,Dallas Wings @ Indiana Fever,,player_rebounds,reb,5.5,-143.4,110.0,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_rebounds,reb,8.5,-134.4,101.5,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_rebounds,reb,4.5,117.0,-156.5,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_rebounds_assists,ra,13.5,-128.0,-104.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_rebounds_assists,ra,7.5,107.5,-144.5,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_rebounds_assists,ra,10.5,107.0,-144.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_rebounds_assists,ra,12.5,0.5,-135.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Awak Kuier,,,Dallas Wings @ Indiana Fever,,player_threes,threes,1.5,147.0,-198.0,,,4,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_threes,threes,2.5,143.5,-199.5,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_threes,threes,2.5,-113.33,-119.5,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Alanna Smith,,,Dallas Wings @ Indiana Fever,,player_threes,threes,1.5,108.0,-145.25,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Kelsey Mitchell,,,Dallas Wings @ Indiana Fever,,player_threes,threes,3.5,127.75,-186.5,,,3,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_threes,threes,1.5,-137.33,102.75,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Sophie Cunningham,,,Dallas Wings @ Indiana Fever,,player_threes,threes,1.5,111.67,-154.75,,,5,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_assists,ast,5.5,-152.0,112.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Kelsey Mitchell,,,Dallas Wings @ Indiana Fever,,player_points,pts,25.5,-118.5,-120.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_points,pts,22.5,-105.67,-126.0,,,3,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Makayla Timpson,,,Dallas Wings @ Indiana Fever,,player_points,pts,6.5,-121.25,-112.33,,,4,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Lexie Hull,,,Dallas Wings @ Indiana Fever,,player_points,pts,5.5,118.0,-147.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,32.5,-111.0,-122.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,28.5,-108.0,-125.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Kelsey Mitchell,,,Dallas Wings @ Indiana Fever,,player_points_assists,pa,28.5,-107.0,-127.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_points_rebounds,pr,25.5,-125.0,-108.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Alanna Smith,,,Dallas Wings @ Indiana Fever,,player_points_rebounds,pr,19.5,-120.0,-113.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Odyssey Sims,,,Dallas Wings @ Indiana Fever,,player_points_rebounds,pr,14.5,-109.0,-125.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_points_rebounds_assists,pra,32.5,-112.0,-122.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Aliyah Boston,,,Dallas Wings @ Indiana Fever,,player_points_rebounds_assists,pra,28.5,-125.0,-106.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Alanna Smith,,,Dallas Wings @ Indiana Fever,,player_rebounds,reb,7.5,-131.33,-35.0,,,3,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Paige Bueckers,,,Dallas Wings @ Indiana Fever,,player_rebounds,reb,3.5,-154.0,114.0,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Arike Ogunbowale,,,Dallas Wings @ Indiana Fever,,player_rebounds,reb,3.5,109.5,-144.33,,,4,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Lexie Hull,,,Dallas Wings @ Indiana Fever,,player_rebounds,reb,2.5,-146.0,112.0,,,3,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Caitlin Clark,,,Dallas Wings @ Indiana Fever,,player_rebounds_assists,ra,14.5,100.0,-136.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Odyssey Sims,,,Dallas Wings @ Indiana Fever,,player_rebounds_assists,ra,7.5,106.0,-144.0,,,1,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
2026-08-14,39bf012a0015d3c6753cc0b21100866e,Kelsey Mitchell,,,Dallas Wings @ Indiana Fever,,player_threes,threes,2.5,-179.0,131.5,,,2,sportsbook,2026-08-14T23:30:00Z,Indiana Fever,Dallas Wings,the-odds-api,2026-08-14T11:26:08.740033+00:00
