game_date,event_id,game,game_time,home_team,away_team,player,team,stat,side,threshold,odds,sportsbook,sportsbook_key,market_key,source,scraped_at
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,AST,OVER,1.5,-1450,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Georgia Amoore,,AST,OVER,1.5,-700,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,AST,OVER,1.5,-420,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,AST,OVER,1.5,-250,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Cotie McMahon,,AST,OVER,1.5,-240,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,AST,OVER,1.5,-210,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Michaela Onyenwere,,AST,OVER,1.5,-188,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,AST,OVER,7.5,470,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,AST,OVER,7.5,1100,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,AST,OVER,9.5,1280,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,AST,OVER,5.5,132,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,AST,OVER,5.5,320,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Georgia Amoore,,AST,OVER,5.5,580,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,AST,OVER,3.5,-380,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,AST,OVER,3.5,-136,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Georgia Amoore,,AST,OVER,3.5,122,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,AST,OVER,3.5,220,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Cotie McMahon,,AST,OVER,3.5,300,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,AST,OVER,3.5,310,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,AST,OVER,3.5,390,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Michaela Onyenwere,,AST,OVER,3.5,450,FanDuel,fanduel,player_assists_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,PTS,OVER,14.5,142,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,PTS,OVER,14.5,136,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,PTS,OVER,14.5,165,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Laura Juskaite,,PTS,OVER,14.5,250,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,PTS,OVER,14.5,-440,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,PTS,OVER,14.5,-310,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,PTS,OVER,14.5,-152,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Michaela Onyenwere,,PTS,OVER,14.5,750,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Lauren Betts,,PTS,OVER,14.5,710,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Cotie McMahon,,PTS,OVER,14.5,550,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,PTS,OVER,29.5,980,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,PTS,OVER,29.5,1300,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,PTS,OVER,29.5,2000,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,PTS,OVER,9.5,-320,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,PTS,OVER,9.5,-345,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,PTS,OVER,9.5,-280,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Laura Juskaite,,PTS,OVER,9.5,-156,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,PTS,OVER,9.5,-2800,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,PTS,OVER,9.5,-800,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Michaela Onyenwere,,PTS,OVER,9.5,172,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Georgia Amoore,,PTS,OVER,9.5,790,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Lauren Betts,,PTS,OVER,9.5,165,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Cotie McMahon,,PTS,OVER,9.5,136,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,PTS,OVER,24.5,1350,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,PTS,OVER,24.5,1350,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,PTS,OVER,24.5,1600,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,PTS,OVER,24.5,325,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,PTS,OVER,24.5,415,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,PTS,OVER,24.5,790,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,PTS,OVER,19.5,470,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,PTS,OVER,19.5,460,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,PTS,OVER,19.5,580,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Laura Juskaite,,PTS,OVER,19.5,790,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,PTS,OVER,19.5,-102,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,PTS,OVER,19.5,130,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,PTS,OVER,19.5,245,FanDuel,fanduel,player_points_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,REB,OVER,7.5,-400,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,REB,OVER,7.5,-225,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,REB,OVER,7.5,-220,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,REB,OVER,7.5,205,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Lauren Betts,,REB,OVER,7.5,370,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Laura Juskaite,,REB,OVER,7.5,850,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,REB,OVER,7.5,1260,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Cotie McMahon,,REB,OVER,7.5,1280,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,REB,OVER,5.5,-2000,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,REB,OVER,5.5,-850,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,REB,OVER,5.5,-800,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,REB,OVER,5.5,-166,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Lauren Betts,,REB,OVER,5.5,122,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Laura Juskaite,,REB,OVER,5.5,240,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Sonia Citron,,REB,OVER,5.5,360,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Cotie McMahon,,REB,OVER,5.5,430,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Rice,,REB,OVER,5.5,550,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Michaela Onyenwere,,REB,OVER,5.5,880,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,REB,OVER,13.5,430,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,REB,OVER,13.5,680,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,REB,OVER,13.5,700,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,REB,OVER,11.5,182,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,REB,OVER,11.5,280,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,REB,OVER,11.5,300,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,REB,OVER,11.5,1400,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,REB,OVER,15.5,1000,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,REB,OVER,15.5,1400,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,REB,OVER,15.5,1500,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Shakira Austin,,REB,OVER,9.5,-154,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Kiki Iriafen,,REB,OVER,9.5,116,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Aneesah Morrow,,REB,OVER,9.5,110,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,REB,OVER,9.5,520,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Lauren Betts,,REB,OVER,9.5,850,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Isabelle Harrison,,REB,OVER,3.5,-850,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
2026-08-19,c162d60ca8c8caf4195c3abf4566747a,Toronto Tempo @ Washington Mystics,2026-08-19T23:30:00Z,Washington Mystics,Toronto Tempo,Lauren Betts,,REB,OVER,3.5,-320,FanDuel,fanduel,player_rebounds_alternate,the-odds-api,2026-08-19T21:48:10.756346+00:00
