archive_date,archive_game,archive_index,candidate_dates,candidate_event_ids,detail,player,status
,,470,,,2026-07-21: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260721,,FETCH_ERROR
,,470,,,2026-07-22: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260722,,FETCH_ERROR
2026-07-19,Washington Mystics @ Golden State Valkyries,470,[],[],,Janelle Salaun,AMBIGUOUS_OR_MISSING
,,484,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
,,484,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
,,484,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,484,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,484,,,2026-07-20: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260720,,FETCH_ERROR
,,484,,,2026-07-21: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260721,,FETCH_ERROR
,,484,,,2026-07-22: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260722,,FETCH_ERROR
2026-07-19,Washington Mystics @ Golden State Valkyries,484,[],[],,Shakira Austin,AMBIGUOUS_OR_MISSING
,,486,,,2026-07-19: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260719,,FETCH_ERROR
,,486,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
