archive_date,player,archive_game,archive_away,archive_home,classification,warehouse_date,warehouse_game,warehouse_away,warehouse_home,warehouse_game_id,candidate_dates,note,outcome,actual_source
2026-07-12,Dominique Malonga,Seattle Storm @ Washington Mystics,seattle storm,washington mystics,EXACT_MATCH,2026-07-12,Storm @ Mystics,seattle storm,washington mystics,401857061,,,WIN,player_game_log_warehouse
2026-07-12,A'ja Wilson,Indiana Fever @ Las Vegas Aces,indiana fever,las vegas aces,EXACT_MATCH,2026-07-12,Fever @ Aces,indiana fever,las vegas aces,401857063,,,LOSS,player_game_log_warehouse
2026-07-12,Julie Allemand,New York Liberty @ Toronto Tempo,new york liberty,toronto tempo,HOME_AWAY_ORIENTATION_DIFFERENCE,2026-07-12,Tempo @ Liberty,toronto tempo,new york liberty,401857060,,,WIN,player_game_log_warehouse
2026-07-12,A'ja Wilson,Indiana Fever @ Las Vegas Aces,indiana fever,las vegas aces,EXACT_MATCH,2026-07-12,Fever @ Aces,indiana fever,las vegas aces,401857063,,,LOSS,player_game_log_warehouse
2026-07-12,Arike Ogunbowale,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,HOME_AWAY_ORIENTATION_DIFFERENCE,2026-07-12,Wings @ Sky,dallas wings,chicago sky,401857062,,,LOSS,player_game_log_warehouse
2026-07-12,NaLyssa Smith,Indiana Fever @ Las Vegas Aces,indiana fever,las vegas aces,EXACT_MATCH,2026-07-12,Fever @ Aces,indiana fever,las vegas aces,401857063,,,LOSS,player_game_log_warehouse
2026-07-12,Azura Stevens,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Kiki Iriafen,Seattle Storm @ Washington Mystics,seattle storm,washington mystics,HOME_AWAY_ORIENTATION_DIFFERENCE,2026-07-12,Mystics @ Storm,washington mystics,seattle storm,401857061,,,WIN,player_game_log_warehouse
2026-07-12,A'ja Wilson,Indiana Fever @ Las Vegas Aces,indiana fever,las vegas aces,EXACT_MATCH,2026-07-12,Fever @ Aces,indiana fever,las vegas aces,401857063,,,WIN,player_game_log_warehouse
2026-07-12,Michaela Onyenwere,Seattle Storm @ Washington Mystics,seattle storm,washington mystics,HOME_AWAY_ORIENTATION_DIFFERENCE,2026-07-12,Mystics @ Storm,washington mystics,seattle storm,401857061,,,WIN,player_game_log_warehouse
2026-07-12,Dominique Malonga,Seattle Storm @ Washington Mystics,seattle storm,washington mystics,EXACT_MATCH,2026-07-12,Storm @ Mystics,seattle storm,washington mystics,401857061,,,WIN,player_game_log_warehouse
2026-07-12,Awa Fam,Seattle Storm @ Washington Mystics,seattle storm,washington mystics,EXACT_MATCH,2026-07-12,Storm @ Mystics,seattle storm,washington mystics,401857061,,,WIN,player_game_log_warehouse
2026-07-12,A'ja Wilson,Indiana Fever @ Las Vegas Aces,indiana fever,las vegas aces,EXACT_MATCH,2026-07-12,Fever @ Aces,indiana fever,las vegas aces,401857063,,,WIN,player_game_log_warehouse
2026-07-12,Julie Allemand,New York Liberty @ Toronto Tempo,new york liberty,toronto tempo,HOME_AWAY_ORIENTATION_DIFFERENCE,2026-07-12,Tempo @ Liberty,toronto tempo,new york liberty,401857060,,,WIN,player_game_log_warehouse
2026-07-12,Dominique Malonga,Seattle Storm @ Washington Mystics,seattle storm,washington mystics,EXACT_MATCH,2026-07-12,Storm @ Mystics,seattle storm,washington mystics,401857061,,,WIN,player_game_log_warehouse
2026-07-12,Dominique Malonga,Seattle Storm @ Washington Mystics,seattle storm,washington mystics,EXACT_MATCH,2026-07-12,Storm @ Mystics,seattle storm,washington mystics,401857061,,,WIN,player_game_log_warehouse
2026-07-12,Michaela Onyenwere,Seattle Storm @ Washington Mystics,seattle storm,washington mystics,HOME_AWAY_ORIENTATION_DIFFERENCE,2026-07-12,Mystics @ Storm,washington mystics,seattle storm,401857061,,,WIN,player_game_log_warehouse
2026-07-12,Aliyah Boston,Indiana Fever @ Las Vegas Aces,indiana fever,las vegas aces,EXACT_MATCH,2026-07-12,Fever @ Aces,indiana fever,las vegas aces,401857063,,,LOSS,player_game_log_warehouse
2026-07-12,Azura Stevens,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Aliyah Boston,Indiana Fever @ Las Vegas Aces,indiana fever,las vegas aces,EXACT_MATCH,2026-07-12,Fever @ Aces,indiana fever,las vegas aces,401857063,,,LOSS,player_game_log_warehouse
2026-07-12,Azura Stevens,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,A'ja Wilson,Indiana Fever @ Las Vegas Aces,indiana fever,las vegas aces,EXACT_MATCH,2026-07-12,Fever @ Aces,indiana fever,las vegas aces,401857063,,,LOSS,player_game_log_warehouse
2026-07-12,Natasha Cloud,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,LOSS,player_game_log_warehouse
2026-07-12,Natasha Cloud,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Azzi Fudd,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,HOME_AWAY_ORIENTATION_DIFFERENCE,2026-07-12,Wings @ Sky,dallas wings,chicago sky,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Kamilla Cardoso,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Kamilla Cardoso,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Azzi Fudd,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,HOME_AWAY_ORIENTATION_DIFFERENCE,2026-07-12,Wings @ Sky,dallas wings,chicago sky,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Courtney Vandersloot,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Kamilla Cardoso,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Kamilla Cardoso,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Courtney Vandersloot,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Kamilla Cardoso,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Kamilla Cardoso,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-12,Sydney Taylor,Chicago Sky @ Dallas Wings,chicago sky,dallas wings,EXACT_MATCH,2026-07-12,Sky @ Wings,chicago sky,dallas wings,401857062,,,WIN,player_game_log_warehouse
2026-07-13,Kahleah Copper,Phoenix Mercury @ Minnesota Lynx,phoenix mercury,minnesota lynx,EXACT_MATCH,2026-07-13,Mercury @ Lynx,phoenix mercury,minnesota lynx,401857065,,,LOSS,player_game_log_warehouse
